,Skills
2453,Java Object Oriented Querying
2454,Java Package
2455,Java Persistence Query Language
2456,Java Platform Enterprise Edition (J2EE)
2457,Java Platform Micro Edition (J2ME)
2458,Java Platform Standard Edition (J2SE)
2459,Java Portlet Specification
2460,Java Profiler
2461,Java Runtime Environment
2462,Java Scripting Languages
2463,Java Secure Socket Extension
2464,Java Servlet
2465,Java Specification Requests (JSRs)
2466,Java Web Start
2467,Java XML
2468,JavaBeans
2469,JavaBeans Activation Framework
2470,Javadoc
2471,JavaFX
2472,JavaServer Faces
2473,JavaServer Pages
2474,JavaServer Pages Standard Tag Library
2475,JAX-WS
2476,JConsole
2477,JdbcTemplate
2478,Jdom
2479,Jest (JavaScript Testing Framework)
2480,Jetty
2481,JiBX
2482,jMock
2483,JMockit
2484,JPA2
2485,JSF 2
2486,Jstack
2487,Jython
2488,Message Driven Beans
2489,MyBatis
2490,Powermock
2491,Powermockito
2492,Primefaces
2493,Restlet
2494,RichFaces
2495,RxJava
2496,Session Beans
2497,Standard Widget Toolkits
2498,Swing (Java)
2499,Thymeleaf
2500,TopLink
2501,XDoclet
2502,Yourkit
2503,Zipkin
2504,ag-Grid
2505,amCharts
2506,Apollo Client
2507,Aurelia
2508,Axios (JavaScript Library)
2509,Backbone.js
2510,Breeze.js
2511,Browserify
2512,CanJS
2513,CasperJS
2514,CommonJS
2515,Cucumber.js
2516,D3.js
2517,Dojo Toolkit
2518,DOM Scripting
2519,Durandal
2520,Dust.js
2521,ECMAScript 2015
2522,ECMAScript 2016
2523,ECMAScript 2017
2524,Ember.js
2525,Express.js
2526,Ext JS
2527,Gatsby.js
2528,Grunt.js
2529,Gulp.js
2530,Handlebars.js
2531,Hapi.js
2532,Highcharts
2533,Immutable.js
2534,JavaScript Build
2535,JavaScript Engine
2536,JavaScript Frameworks
2537,JavaScript Libraries
2538,Jqgrid
2539,JQuery
2540,JQuery Mobile
2541,JQuery UI
2542,JScript
2543,JSHint
2544,JSLint
2545,jSPM (JavaScript Package Manager)
2546,Kendo UI (User Interface Framework)
2547,Knockout.js
2548,Leaflet (Software)
2549,Lodash
2550,Marionette.js
2551,MeteorJS
2552,MobX
2553,Modernizr
2554,MooTools
2555,NativeScript
2556,Next.js
2557,Node.js
2558,Node-RED
2559,Nuxt.Js
2560,Object-Oriented JavaScript
2561,OpenLayers
2562,Oracle Javascript Extension Toolkit (JET)
2563,PhantomJS
2564,Prototype JavaScript Framework
2565,Query Builder
2566,React Jsx
2567,React Native
2568,React Redux
2569,React.js
2570,Reactstrap
2571,RequireJS
2572,Restify
2573,Rollup
2574,RxJS
2575,Sapui5
2576,Script.Aculo.Us
2577,Sencha Touch
2578,Sequelize.js
2579,Settimeout
2580,Sinon
2581,SPServices
2582,SystemJS
2583,Three.js
2584,Underscore.js
2585,Unobtrusive JavaScript
2586,Video.js
2587,Vue.js
2588,Vuex
2589,Webpack
2590,Webpack 4
2591,WinJS
2592,Yahoo! User Interface Library (YUI)
2593,Zepto
2594,Apache Flume
2595,Electronic Logbook
2596,Error Logging Modules And Handlers (ELMAH)
2597,Event Logging
2598,Event Viewer
2599,Filebeat
2600,Graylog
2601,IIS Logs
2602,Internal Logging
2603,Java Logging Framework
2604,Log Analysis
2605,Log Files
2606,Log Management And Intelligence
2607,Log Monitoring
2608,Log Shipping
2609,Log4j
2610,Logback
2611,Logcat
2612,Logfiles
2613,Logrotate
2614,Rsyslog
2615,Simple Logging Facade For Java (SLF4J)
2616,Syslog
2617,WhatsUp Gold (Software)
2618,Access Control Facility
2619,Coupling Facility
2620,Customer Information Control System (CICS)
2621,Easytrieve
2622,Endevor (Software)
2623,Enterprise Systems Connection (ESCON)
2624,FileAid (Software)
2625,IBM Mainframe
2626,IBM Mainframe Utility Programs
2627,IBM OMEGAMON
2628,IBM System Z
2629,IBM Time Sharing Option
2630,IBM Workload Manager For Z/OS (WLM/SRM)
2631,IBM ZEnterprise Systems
2632,Idms
2633,IEFBR14
2634,Interactive System Productivity Facility (ISPF)
2635,Job Control Language (JCL)
2636,Job Entry Subsystem 2/3
2637,Mainframe Computing
2638,Mainframe Testing
2639,MVS (OS)
2640,Panvalet
2641,Resource Access Control Facility
2642,System Display And Search Facility (SDSF)
2643,Virtual Telecommunications Access Methods
2644,VSE (Operating System)
2645,XPEDITER
2646,z/OS
2647,Adware
2648,Antivirus Software
2649,AVG (Software)
2650,Computer Virus
2651,Kaspersky Anti-Virus
2652,Mac Defender
2653,Malware Analysis
2654,Malware Detection
2655,Malware Reverse Engineering
2656,Malwarebytes' Anti-Malware
2657,McAfee VirusScan
2658,Microsoft Antivirus
2659,Microsoft Security Essentials
2660,Nessus
2661,Nexpose (Vulnerability Scanning Software)
2662,Norton Antivirus
2663,Open Source Host-Based Intrusion Detection Systems
2664,Palo Alto Wildfire
2665,Rootkit
2666,SONAR (Symantec)
2667,Spyware
2668,Symantec Endpoint Protection
2669,Websense
2670,Windows Defender
2671,.NET Assemblies
2672,.NET Framework
2673,.NET Framework 1
2674,.NET Framework 3
2675,.NET Framework 4
2676,.NET MAUI (Multi-Platform App UI)
2677,Active Server Pages (ASP)
2678,ActiveX
2679,ActiveX Data Objects
2680,ADO.NET (Programming Language)
2681,ASP.NET
2682,ASP.NET Core
2683,ASP.NET Core MVC
2684,ASP.NET Extensions For AJAX
2685,ASP.NET MVC 5
2686,ASP.NET MVC Framework
2687,ASP.NET Razor
2688,ASP.NET Web API
2689,Azure Service Fabric
2690,Bot Framework
2691,ClickOnce
2692,Component Object Model (COM)
2693,DirectX (Software)
2694,Entity Framework
2695,Language Integrated Query
2696,Live Connect (Windows)
2697,Microsoft Blend
2698,Microsoft Enterprise Library
2699,Microsoft File Compare
2700,Microsoft Framework
2701,Microsoft Frontpage
2702,Microsoft Silverlight
2703,Microsoft Visual C Sharp
2704,Microsoft Visual SourceSafe
2705,Microsoft Visual Studio
2706,Microsoft WebMatrix
2707,MSDN-The Microsoft Developer Networks
2708,Mvc.net
2709,NHibernate
2710,Object Linking And Embedding (OLE)
2711,Powerapps
2712,Provider Model
2713,SignalR
2714,Unity Container
2715,User-Mode Driver Framework
2716,Visual Assist
2717,Visual InterDev
2718,Visual Studio Online
2719,Visual Studio Tools for Office (VSTO)
2720,Wcf Data Services
2721,Webapi2
2722,Windows App Studio
2723,Windows Communication Foundation
2724,Windows Driver Kit
2725,Windows Forms
2726,Windows Interface Source Environment
2727,Windows Presentation Foundation
2728,Windows Workflow Foundation
2729,AutoIt
2730,BitLocker Drive Encryption
2731,Daemon Tools
2732,Desktop Window Management
2733,Dynamic-Link Libraries
2734,Extended File Allocation Table (ExFAT)
2735,File Replication Service
2736,HTML Application
2737,InstallShield
2738,Kernel-Mode Driver Framework
2739,Microsoft Deployment Toolkit
2740,Resource Kit (Windows Administration)
2741,Resource Monitor
2742,Roaming User Profile
2743,Robocopy
2744,Session Manager SubSystems
2745,Sysinternals
2746,System Properties
2747,Universal Windows Platform
2748,WinDBg
2749,WindowBlinds (Software)
2750,Windows Automated Installation Kit
2751,Windows Console
2752,Windows Deployment Services
2753,Windows Desktop
2754,Windows Embedded
2755,Windows Fundamentals For Legacy PCs
2756,Windows Image Acquisition
2757,Windows Installer
2758,Windows Installer XML (WIX)
2759,Windows Legacy Audio Components
2760,Windows Mail
2761,Windows Management Instrumentation
2762,Windows Media
2763,Windows Mobile
2764,Windows Preinstallation Environments
2765,Windows Programming
2766,Windows Registry
2767,Windows Search
2768,Windows Security
2769,Windows Service
2770,Windows Shell
2771,Windows Software
2772,Windows Template Libraries
2773,Windows USER
2774,WinINSTALL
2775,Winrm
2776,Wintel
2777,Xperf
2778,Advanced Message Queuing Protocol
2779,Amazon MQ
2780,Amazon Simple Queue Services
2781,Android Middleware
2782,Apache ActiveMQ
2783,BlackBerry Enterprise Servers
2784,Common Object Request Broker Architecture
2785,Connect-Direct (Internet Protocols Based Network Software)
2786,Data Distribution Services
2787,Enterprise Messaging Systems
2788,FileZilla
2789,Hornetq
2790,IBM WebSphere MQ
2791,Integration Platforms
2792,Java Message Service (JMS)
2793,JBoss Messaging
2794,Message Broker
2795,Message-Oriented Middleware
2796,Messages Servers
2797,Microsoft Biztalk Servers
2798,Microsoft Message Queuing
2799,Middleware
2800,Netflix Eureka
2801,Oracle Advanced Queuing
2802,Oracle Application Server
2803,Oracle Aq
2804,Oracle Forms
2805,Oracle Fusion Middleware
2806,Peoplesoft Integration Broker
2807,Persistence Framework
2808,Publish Subscribe
2809,RabbitMQ
2810,Redux-Saga
2811,Sap Business Connector
2812,TIBCO EMS
2813,Tuxedo (Software)
2814,Visibroker
2815,Accelerated Mobile Pages
2816,Mobile Application Software
2817,Amazon AppStore
2818,Android Applications
2819,Android ButterKnife
2820,Android Debug Bridge
2821,Android Development
2822,Android Emulators
2823,Android Jetpack
2824,Android Multimedia
2825,Android NDK
2826,Android SDK
2827,Android Software Development
2828,Android Studio
2829,Android Testing
2830,Android UI
2831,Apache Cordova
2832,Appcelerator
2833,Auto Layout
2834,BlackBerry World
2835,Bluetooth Stack
2836,Cordova Plugins
2837,Crashlytics
2838,Dagger 2
2839,Firebase
2840,Firebase Analytics
2841,Flutter (Software)
2842,Google Play
2843,Google Play Console
2844,Hockeyapp
2845,Hybrid Mobile App
2846,IBM Mobile
2847,IBM Worklight
2848,Ionic Framework
2849,Ionic Native
2850,Mbaas
2851,Mobile Application Design
2852,Mobile Application Development
2853,Mobile Architecture
2854,Mobile Platform Development
2855,Okhttp
2856,PhoneGap
2857,Pixate
2858,Proguard
2859,Push Technology
2860,Rooting (Android OS)
2861,Windows Phone
2862,Xamarin
2863,Xamarin Studio
2864,6LoWPAN
2865,Address Resolution Protocols
2866,AppleTalk
2867,Application Configuration Access Protocols
2868,Authentication Protocols
2869,BACnet
2870,Bootstrap Protocol
2871,Border Gateway Protocol
2872,Camera Link
2873,CAN Bus
2874,CANopen
2875,Cisco Discovery Protocol
2876,Collection Tree Protocol (CTP)
2877,ControlNet Protocols
2878,Data Link Layer
2879,Data-Link Switching
2880,Distance Vector Multicast Routing Protocol
2881,Distributed Network Protocol (DNP3)
2882,DOCSIS Timing Interface
2883,Dynamic Host Configuration Protocol (DHCP)
2884,Dynamic Trunking Protocol
2885,Enhanced Interior Gateway Routing Protocols
2886,Ethernet Frame
2887,EVPN (Ethernet VPN)
2888,Extensible Authentication Protocol
2889,Extensible Messaging And Presence Protocol (XMPP)
2890,Fiber Channel
2891,Fibre Channel Over IP
2892,File Service Protocol
2893,File Transfer Protocol (FTP)
2894,First-Hop Redundancy Protocols
2895,FlexRay
2896,G.729 Standard
2897,Gateway Load Balancing Protocols
2898,Generalized Multi-Protocol Label Switching
2899,Generic Routing Encapsulation
2900,Gigabit Ethernet
2901,High-Level Data Link Controls
2902,Hot Standby Router Protocol
2903,iBeacon Protocol
2904,IBM Advanced Peer-To-Peer Networking
2905,IBM Fibre Connection (FICON) Protocol
2906,IEEE 802
2907,IEEE 802.11
2908,IEEE 802.1ad
2909,IEEE 802.1Q
2910,IEEE 802.3
2911,IMAP (Internet Message Access Protocol)
2912,Intelligent Network Application Protocol (INAP)
2913,Interior Gateway Routing Protocols
2914,Internet Control Message Protocol (ICMP)
2915,Internet Group Management Protocols
2916,Internet Protocols
2917,Internet Protocols Suite
2918,Internet Security Association And Key Management Protocols
2919,Internet Small Computer System Interface (ISCSI)
2920,Internetwork Packet Exchange (IPX)
2921,Internetwork Packet Exchange/Sequenced Packet Exchange (IPX/SPX)
2922,IP Flow Information Export
2923,IPv4
2924,IPv6
2925,IPv6 Address
2926,JSON-RPC Protocol
2927,Kerberos (Protocol)
2928,Keyword Protocol 2000
2929,Layer 2 Tunneling Protocol Version 3 (L2TPv3)
2930,Layer 2 Tunneling Protocols
2931,Lightweight Access Point Protocol
2932,Link Control Protocol
2933,Link Layer Discovery Protocol
2934,Link Manager Protocol
2935,Management Component Transport Protocols
2936,Message Queuing Telemetry Transport (MQTT)
2937,Multicast Address Allocation Server
2938,Multicast Routing Protocols
2939,Multicast Source Discovery Protocol
2940,Multi-Link Point-To-Point Protocol
2941,Multiprotocol BGP
2942,Multiprotocol Label Switching
2943,Net Tcp
2944,Netconf
2945,Network News Transfer Protocol
2946,Network Protocol Analysis
2947,Network Protocols
2948,Network Time Protocol Daemon (NTPD)
2949,Network Time Protocols
2950,NPIV
2951,Online Certificate Status Protocol
2952,Open Data Protocol
2953,Open Shortest Path First (OSPF)
2954,OpenFlow
2955,OpenLDAP
2956,Optical Transport Networks
2957,OSI Protocols
2958,OTN
2959,Overlay Transport Virtualization
2960,Point-To-Point Protocol Over Ethernet
2961,Point-To-Point Tunneling Protocol (PPTP)
2962,Port Aggregation Protocols
2963,Protocol Implementation Conformance Statement
2964,Protocol Independent Multicast
2965,Protocol Stack
2966,Quagga (Software)
2967,Remote Authentication Dial In User Service (RADIUS)
2968,Remote Desktop Protocol (RDP)
2969,Remote Imaging Protocols
2970,Reverse Address Resolution Protocols
2971,Routing Information Protocols
2972,Routing Information Protocols V1
2973,Routing Information Protocols V2
2974,Routing Protocols
2975,RTP Control Protocol
2976,Samba (Software)
2977,Secure FTP (Software)
2978,Server Message Block
2979,Session Description Protocol
2980,Session Description Protocol Security Descriptions (SDES)
2981,Session Initiation Protocols
2982,Signalling Connection Control Part (SCCP)
2983,Simple Network Management Protocols
2984,Simple Object Access Protocol (SOAP)
2985,SMTP (Simple Mail Transfer Protocol)
2986,Spanning Tree Protocols
2987,Stream Control Transmission Protocols
2988,TCP/IP
2989,Telnet
2990,Transmission Control Protocol (TCP)
2991,Trivial File Transfer Protocols
2992,Tunneling Protocol
2993,Unidirectional Link Detection
2994,User Datagram Protocol
2995,Virtual Router Redundancy Protocols
2996,VLAN Trunking Protocol (VTP)
2997,Web Cache Communication Protocols
2998,WebSocket
2999,WinSCP
3000,Winsock File Transfer Protocol (WS_FTP)
3001,Wireless Application Protocol (WAP)
3002,Wireless Distribution Systems
3003,X.500 (OSI Protocols)
3004,XAUI Standard
3005,Z-Wave Protocol
3006,AAA Server (Authentication Authorization And Accounting)
3007,Aircrack-Ng
3008,Application Firewall
3009,Aruba ClearPass
3010,AS2
3011,Azure Firewall
3012,Bluecoat Proxies
3013,Botnet
3014,Cisco firePOWER
3015,Cisco NAC Appliance
3016,Cisco Systems VPN Client
3017,Classified Networks
3018,Cloud Access Security Broker Tools (CASBs)
3019,Cloud Security Architecture
3020,Cloud Security Infrastructure
3021,Cloud Security Strategy
3022,Computer Network Defense
3023,Context-Based Access Controls
3024,Deep Packet Inspection
3025,Demilitarized Zones (DMZ)
3026,DHCP Snooping
3027,Distributed Firewall
3028,Domain Controllers
3029,Domain Name System Security Extensions
3030,Dynamic Multipoint Virtual Private Networks
3031,Enterprise Network Security
3032,Firewall
3033,Firewalld
3034,Fortinet
3035,FreeRADIUS
3036,Google Cloud Security
3037,Host-Based Intrusion Detection Systems
3038,Hping - Active Network Security Tool
3039,Identity Services Engine
3040,IEEE 802.1AE
3041,Imperva
3042,Internet Protocol Security (IP SEC)
3043,Intrusion Detection And Prevention
3044,Intrusion Detection Systems
3045,IP Access Controllers
3046,IPSec Tunnels
3047,IronPort
3048,Ixia BreakingPoint
3049,Kismet (Software)
3050,McAfee Firewall
3051,McAfee Network Security
3052,Microsoft Azure Expressroute
3053,Microsoft Forefront Threat Management Gateway
3054,Mobile Virtual Private Networks
3055,MPLS VPN
3056,NAT Traversal
3057,NetFlow
3058,NetScreen
3059,NetStumbler
3060,Network Admission Control
3061,Network Diagnostics
3062,Network Encryption
3063,Network Enumeration
3064,Network Flow
3065,Network Intrusion Detection And Prevention
3066,Network Security
3067,Network Security Administrator
3068,Network Security Policy
3069,Network Security Services
3070,Network Traffic Analysis
3071,Nmap
3072,OpenSSH
3073,OpenVPN
3074,Packet Analyzer
3075,Palo Alto Firewalls
3076,Personal Firewall
3077,PfSense
3078,Proxy Servers
3079,Qualys
3080,Rate Limiting
3081,Remote Access Policies
3082,Secure Gateway
3083,Secure Network Communications
3084,Secure Remote Password Protocols
3085,SecureCRT
3086,Security Domain
3087,Security Onion (Intrusion Detection System)
3088,Sniffers
3089,Sonicwall
3090,SSL Security
3091,Stateful Firewall
3092,Systrace
3093,TCP Wrapper
3094,Tcpdump
3095,TippingPoint
3096,Transport Layer Security (TLS)
3097,Trusted Internet Connections
3098,Verisign
3099,Virtual Firewall
3100,Virtual Private LAN Services
3101,Virtual Private Networks (VPN)
3102,VPN Clients
3103,VPN Tunnels
3104,Web Server Security
3105,Wi-Fi Protected Access
3106,WiFi Security
3107,Windows Firewall
3108,Wireless Intrusion Prevention Systems
3109,Wireless Security
3110,Wireless Transport Layer Security
3111,X.509
3112,XML Firewall
3113,Zoning (Networking)
3114,56 Kbit/S Modems
3115,ABR Routers
3116,Brocade Network Technologies
3117,Brocade Switches
3118,Celerra (Server Appliance)
3119,Channel Router
3120,Cisco Adaptive Security Appliance (ASA)
3121,Cisco Hardwares
3122,Cisco Nexus Switches
3123,Cisco PIX
3124,Cisco Routers
3125,Cisco Switching
3126,Data Cabling
3127,Data Highway Plus
3128,Dell Equallogic
3129,Dell IDRAC
3130,Dell PowerConnect
3131,Digital Subscriber Line Access Multiplexer
3132,DisplayPort
3133,DSL Modems
3134,Endpoint Devices
3135,Ethernet Hub
3136,Ethernet Over Twisted Pair
3137,Ethernet Physical Transceiver
3138,IBM 37xx
3139,Integrated Access Devices
3140,Integrated Service Routers
3141,Juniper M Series (Juniper Networks)
3142,Juniper Routers
3143,Label Switching Router (MPLS Networking)
3144,MiFi
3145,Modems
3146,Multilayer Switch
3147,Network Adapters
3148,Network Bridges
3149,Network Interface Controllers
3150,Network Interface Device
3151,Network On A Chip
3152,Network Processor
3153,Network Switches
3154,Networking Cables
3155,Networking Hardware
3156,Patch Panels
3157,Power Over Ethernet
3158,VLAN Management Policy Server
3159,Wireless Access Point
3160,Wireless Bridge
3161,Wireless LAN Controllers
3162,Wireless Network Interface Controllers
3163,Wireless Router
3164,AFNetworking
3165,AirMagnet (Site Survey Software)
3166,AirSnort
3167,Aruba (Network Management Software)
3168,Cacti
3169,Cisco DNA Center
3170,Cisco Firewall Services Module (FWSM)
3171,Cisco Meraki
3172,Cisco Packet Tracer
3173,Cisco Software
3174,EHealth
3175,Ekahau Site Survey
3176,GNS3
3177,HP OpenView
3178,Hystrix
3179,Icinga
3180,Iperf
3181,IxChariot (Traffic Generator)
3182,Ixia (Network Tools)
3183,IxLoad (Network Testing Tool)
3184,IxVeriWave (Network Test Tool)
3185,Lync SDN (Software-Defined Networking) Manager
3186,Microsoft Network Monitor
3187,Multi Router Traffic Grapher
3188,Nbtstat
3189,Netfilter
3190,Network Based Application Recognition (NBAR) - Cisco
3191,Nslookup
3192,OmniPeek
3193,OpenDaylight
3194,OpenNMS
3195,OPNET
3196,Packet Generators
3197,Packeteer
3198,Paessler Router Traffic Grapher
3199,Ping (Networking Utility)
3200,Protocol Analyzer
3201,PuTTY (Application)
3202,Riverbed (Software)
3203,Scapy
3204,Spiceworks
3205,Virtual Routers
3206,Wireshark
3207,Zabbix
3208,Android (Operating System)
3209,BlackBerry OS
3210,CentOS
3211,Chrome OS
3212,Cisco IOS
3213,Common Desktop Environments
3214,Convergent Technologies Operating Systems
3215,CoreOS
3216,Data ONTAP (Server Appliance)
3217,Debian Linux
3218,Deep Six Operating System (DSOS)
3219,Disk Operating Systems
3220,Embedded Operating Systems
3221,EXT3
3222,Fabric Operating System
3223,Fedora Linux
3224,FreeBSD
3225,FreeRTOS
3226,Gentoo Linux
3227,GNOME (GNU Project Software)
3228,Green Hills Integrity
3229,HP-UX
3230,IBM AIX
3231,IBM I
3232,IBM OS/2 (Software)
3233,IBM OS/390
3234,Inode
3235,Internetwork Operating System
3236,IRIX
3237,Junos
3238,Linux
3239,Linux Console
3240,Linux Distribution
3241,Linux Kernel
3242,Linux On System Z
3243,Loadable Kernel Module
3244,LynxOS
3245,Mac OS
3246,Mac OS X
3247,macOS Mojave
3248,macOS Sierra
3249,MicroC/OS-II
3250,Microsoft Operating Systems
3251,Microsoft Windows
3252,Microsoft Windows 10
3253,Microsoft Windows 7
3254,Microsoft Windows 8
3255,Microsoft Windows CE
3256,Microsoft Windows ME
3257,Microsoft Windows NT
3258,Microsoft Windows SDK
3259,Microsoft Windows Vista
3260,Microsoft Windows XP
3261,Microsoft Windows XP Professional X64 Edition
3262,Microsoft XP
3263,MQX
3264,NetWare
3265,Network Operating System (NOS)
3266,Novell Network
3267,OpenBSD
3268,OpenVMS
3269,OpenWrt
3270,Oracle Linux
3271,OS 2200 (Unisys Operating Systems)
3272,PSOS
3273,QNX (Software)
3274,Real-Time Operating Systems
3275,Red Hat Linux
3276,Rhel5
3277,Rhel7
3278,RTLinux
3279,Scientific Linux
3280,SCO OpenServers
3281,Slackware
3282,Solaris (Operating System)
3283,Standard Operating Environments
3284,Stratus VOS
3285,SunOS
3286,SUSE Linux
3287,SUSE Linux Distributions
3288,Symbian
3289,ThreadX
3290,Tizen
3291,Tru64 Unix
3292,tvOS
3293,Ubuntu (Operating System)
3294,Unix
3295,Unix Kernel
3296,Unix System Services
3297,Userspace
3298,VM (Operating System)
3299,VxWorks
3300,Wear OS
3301,Web Operating Systems
3302,WebOS
3303,Windows Servers
3304,Ada (Programming Language)
3305,Advanced Business Application Programming (ABAP)
3306,Agilent VEE (Domain-Specific Programming Language)
3307,ALGOL (ALGOrithmic Language)
3308,AMPL
3309,AMX Programming
3310,Apex Code
3311,Asciidoc
3312,Assembly Language
3313,Automatically Programmed Tool
3314,C# (Programming Language)
3315,CBASIC
3316,Client/Server Application Language (C/AL)
3317,CLIST
3318,Clojure
3319,CoffeeScript
3320,Common Lisp Object Systems
3321,Dart (Programming Language)
3322,Data Manipulation Language
3323,Derivative TouchDesigner
3324,Domain-Specific Language
3325,Elixir (Programming Language)
3326,Eltron Programming Language
3327,Embedded Domain-Specific Languages
3328,Erlang
3329,Event Processing Language
3330,Executive Control Language
3331,F# (Programming Language)
3332,FOIL (Programming Language)
3333,Fortran (Programming Language)
3334,Fortran90
3335,Fourth-Generation Programming Language
3336,Go (Programming Language)
3337,Gosu (Programming Language)
3338,Haskell (Programming Language)
3339,HP BASIC
3340,IBM Basic Assembly Language And Successors
3341,IBM High Level Assembler
3342,IBM Informix-4GL
3343,IBM RPG (Programming Language)
3344,Integration DEFinition (IDEF)
3345,Interactive Data Language (IDL)
3346,J Sharp
3347,Kotlin
3348,Lasso (Programming Language)
3349,Lisp (Programming Language)
3350,M (Programming Language)
3351,Markup Languages
3352,ModeliCA
3353,Modeling Languages
3354,Object Pascal
3355,Ocaml (Programming Language)
3356,Open Programming Language
3357,OpenGL Shading Language
3358,Open-Source Programming Languages
3359,Pascal (Programming Language)
3360,PeopleCode
3361,PL/I (Procedural Programming Language)
3362,Printer Command Language (PCL)
3363,Prolog (Programming Language)
3364,Qt Modeling Language (QML)
3365,Quartz Composer
3366,Rust (Programming Language)
3367,SAS/Base
3368,SAS/IML
3369,Scala (Programming Language)
3370,Scalding
3371,Scheme (Programming Language)
3372,Scratch Programming
3373,Sed (Programming Language)
3374,Shading Language
3375,Smalltalk (Programming Language)
3376,Swift (Programming Language)
3377,System Programming Language
3378,UML Tool
3379,Uniface (Programming Language)
3380,Unified Modeling Language
3381,Visual Basic (Programming Language)
3382,Visual Basic .NET (Programming Language)
3383,Visual Basic For Applications
3384,Visual FoxPro
3385,Visual Objects
3386,Visual Programming Language (VPL)
3387,Vyper (Programming Language)
3388,Web Language
3389,X++ (Programming Language)
3390,X86 Assembly Languages
3391,XBase
3392,YAML
3393,Access Query Languages
3394,Ansi Sql
3395,Contextual Query Language
3396,Cypher Query Language
3397,Data Control Language
3398,DB2 SQL
3399,Doctrine Query Language (DQL)
3400,Embedded SQL
3401,GraphQL
3402,Hibernate Query Language
3403,Hierarchical And Recursive Queries In SQL
3404,ISQL
3405,Kusto Query Language
3406,LINQ To Entities
3407,LINQ To SQL
3408,LINQ To XML
3409,Molecular Query Language
3410,Native SQL
3411,Nzsql
3412,PL/pgSQL
3413,PL/SQL
3414,Query Languages
3415,Salesforce Object Query Language (SOQL)
3416,Salesforce Object Search Language (SOSL)
3417,SPARQL Protocol And RDF Query Language (SPARQL)
3418,SQL (Programming Language)
3419,Standard SQL
3420,Stored Functions
3421,Structured Query Language Procedural Language (SQL PL)
3422,Structured Query Reporter (SQR)
3423,Transact-SQL
3424,U-SQL
3425,AWS CLI (Command Line Interface)
3426,Batch Files
3427,Batch Scripting
3428,Bourne Shell
3429,C Shell
3430,CGI Scripting
3431,Command Prompt
3432,Command-Line Interface
3433,Cron
3434,Custom Scripting
3435,DOS Batching
3436,Drush
3437,F5 Irules
3438,GNU Autoconf
3439,Google Apps Script
3440,IPython
3441,Korn Shell
3442,Kubectl
3443,Linux Commands
3444,Linux Scripting
3445,PowerCLI
3446,Remote Scripting
3447,Scripting
3448,Secure Shell Protocol (SSH)
3449,Shell Commands
3450,Shell Script
3451,Systemtap
3452,TC Shell (Unix)
3453,Unix Commands
3454,Unix Shell
3455,Wget
3456,Windows PowerShell
3457,Windows Script Host
3458,Wsadmin
3459,Z Shell
3460,ActionScript
3461,ActivePerl
3462,AMPScript
3463,AppleScript (Scripting Language)
3464,AutoLISP
3465,AWK (Programming Language)
3466,Bash (Scripting Language)
3467,BeanShell
3468,Behat
3469,Cadence SKILL
3470,CakePHP
3471,CFScript
3472,COBOL (Programming Language)
3473,CodeIgniter
3474,ColdFusion Markup Language
3475,Command Language
3476,DIGITAL Command Language
3477,ECMAScript (C Programming Language Family)
3478,Formula Language
3479,Gherkin (Scripting Language)
3480,Groovy (Programming Language)
3481,JavaScript (Programming Language)
3482,JRuby
3483,Julia (Programming Language)
3484,KiXtart
3485,Kohana
3486,Laravel
3487,Linden Scripting Language
3488,LotusScript
3489,Lua (Scripting Language)
3490,MIVA Script
3491,Perl (Programming Language)
3492,Phalcon (PHP Framework)
3493,PHP (Scripting Language)
3494,PHP 7
3495,PHP Frameworks
3496,phpBB
3497,PostScript
3498,Python (Programming Language)
3499,R (Programming Language)
3500,Rexx (Programming Language)
3501,Ruby (Programming Language)
3502,SASS
3503,Smarty
3504,Symfony
3505,Tandem Advanced Command Language (TACL)
3506,Tcl (Programming Language)
3507,TypeScript
3508,VBScript (Visual Basic Scripting Edition)
3509,Winbatch
3510,Xdebug
3511,Yii PHP Framework
3512,Zend Framework
3513,Bing Search
3514,Coveo
3515,Database Search Engine
3516,DuckDuckGo (Internet Search Engines)
3517,Elasticsearch
3518,Faceted Search
3519,Organic Search
3520,Query Understanding
3521,Search Engine Results Page
3522,Search Technologies
3523,Sphinx Search Engine
3524,Web Browser Engine
3525,Web Search Query
3526,Yandex
3527,Akamai
3528,Apache HTTP Server
3529,Apache Tomcat
3530,Apache TomEE
3531,Apache Traffic Server
3532,Apache Zookeeper
3533,Apollo Server
3534,AppFabric Caching
3535,Apple Network Servers
3536,Application Servers
3537,Azure Content Delivery Network (Azure CDN)
3538,BIND (DNS Software)
3539,Blade Servers
3540,Cisco Unified Computing Systems
3541,Communications Server
3542,Content Delivery Networks
3543,Database Servers
3544,Dell PowerEdge
3545,Dell Servers
3546,Dovecot
3547,Easerver
3548,Embedded HTTP Server
3549,File Servers
3550,FME Server
3551,GeoServer
3552,Glassfish Application Servers
3553,Go Server
3554,HAProxy
3555,High Availability Clusters
3556,HP BladeSystems
3557,HP Proliant
3558,HP Servers
3559,IBM Blade
3560,IBM Forms Server
3561,IBM High Availability Cluster Multiprocessing
3562,IBM HTTP Servers
3563,IBM LAN Servers
3564,IBM Servers
3565,IBM System P
3566,IBM WAS
3567,Image Server
3568,Information Servers
3569,Intel Based Servers
3570,Internet Information Services
3571,Internet Server Application Programming Interface
